venue,year,committee_type,position,full_name,affiliation,notes
QCRYPT,2019,program,member,Andersen Ulrik,Technical University of Denmark,
QCRYPT,2019,program,member,Arnon-Friedman Rotem,UC Berkeley,
QCRYPT,2019,program,chair,Diamanti Eleni,"CNRS, Sorbonne Université",
QCRYPT,2019,program,member,Elkouss David,TU Delft,
QCRYPT,2019,program,member,Gheorghiu Alexandru,California Institute of Technology,
QCRYPT,2019,program,member,Jennewein Thomas,Institute for Quantum Computing,
QCRYPT,2019,program,chair,Leverrier Anthony,Inria Paris,
QCRYPT,2019,program,member,Lim Ci Wen Charles,National University of Singapore,
QCRYPT,2019,program,member,Ling Alexander,"Centre for Quantum Technologies, Singapore",
QCRYPT,2019,program,member,Lo Hoi-Kwong,University of Toronto,
QCRYPT,2019,program,member,Lu Chao-Yang,University of Science and Technology of China,
QCRYPT,2019,program,member,Martin Anthony,University of Geneva,
QCRYPT,2019,program,member,Murta Glaucia,Technical University Delft,
QCRYPT,2019,program,member,Northup Tracy,University of Innsbruck,
QCRYPT,2019,program,member,Pironio Stefano,Université Libre de Bruxelles,
QCRYPT,2019,program,member,Portmann Christopher,ETH Zurich,
QCRYPT,2019,program,member,de Riedmatten Hugues,ICFO,
QCRYPT,2019,program,member,Takeoka Masahiro,"National Institute of Information and Communications Technology, Tokyo",
QCRYPT,2019,program,member,Tittel Wolfgang,Technical University Delft,
QCRYPT,2019,program,member,Tomamichel Marco,University of Technology Sydney,
QCRYPT,2019,program,member,Vallone Giuseppe,University of Padova,
QCRYPT,2019,program,member,Wallden Petros,University of Edinburgh,
QCRYPT,2019,program,member,Zhang Zheshen,University of Arizona,
QCRYPT,2019,steering,member,Anne Broadbent,University of Ottawa,
QCRYPT,2019,steering,chair,Marcos Curty,University of Vigo,
QCRYPT,2019,steering,member,Serge Fehr,"CWI, Leiden University, QuSoft",
QCRYPT,2019,steering,member,Yi-Kai Liu,NIST / University of Maryland,
QCRYPT,2019,steering,member,Christoph Marquardt,Max Planck Institute for the Science of Light,
QCRYPT,2019,steering,member,Akihisa Tomita,Hokkaido University,
QCRYPT,2019,steering,chair,Hugo Zbinden,"U Geneva, Switzerland",
QCRYPT,2019,steering,member,Qiang Zhang,University of Science and Technology of China,
QCRYPT,2019,steering,member,Charles H. Bennett,IBM Research,
QCRYPT,2019,steering,member,Gilles Brassard,Université de Montréal,
QCRYPT,2019,steering,member,Ivan Damgård,Aarhus University,
QCRYPT,2019,steering,member,Artur Ekert,CQT Singapore and Oxford University,
QCRYPT,2019,steering,member,Nicolas Gisin,Université de Genève,
QCRYPT,2019,steering,member,Richard Hughes,Unaffiliated,
QCRYPT,2019,steering,member,Michele Mosca,"IQC, University of Waterloo",
QCRYPT,2019,steering,member,Jian-Wei Pan,University of Science and Technology of China,
QCRYPT,2019,local_organizing,member,Gilles Brassard,Université de Montréal,
QCRYPT,2019,local_organizing,member,Claude Crépeau,McGill University,
QCRYPT,2019,local_organizing,member,Sébastien Gambs,Université du Québec à Montréal,
QCRYPT,2019,local_organizing,member,Louis Salvail,Université de Montréal,
