venue,year,paper_type,title,speaker,authors,affiliations,abstract,arxiv_ids,presentation_url,video_url,session_name,award,notes,scheduled_date,scheduled_time,duration_minutes
QIP,2008,invited,,Dorit Aharonov,Dorit Aharonov,"Hebrew University Andris Ambainis ,
University of Waterloo and University of Latvia Avraham Ben-Aroya ,
Tel-Aviv university Fernando Brandao, Institute of Mathematical Sciences, Imperial College London Patrick Hayden , McGill University Oded Regev , Tel-Aviv University Ben Reichardt , California Institute of Technology Renato Renner , Cambridge Falk Unger , CWI, Amsterdam Michael Wolf , Max-Planck-Institute for Quantumoptics, 
Garching",,,,,,,,,,50
QIP,2008,invited,,Andris Ambainis,Andris Ambainis,University of Waterloo and University of Latvia,,,,,,,,,,50
QIP,2008,invited,,Avraham Ben-Aroya,Avraham Ben-Aroya,Tel-Aviv university,,,,,,,,,,50
QIP,2008,invited,,"Fernando Brandao, Institute of Mathematical Sciences, Imperial College London","Fernando Brandao, Institute of Mathematical Sciences, Imperial College London",,,,,,,,,,,50
QIP,2008,invited,,Patrick Hayden,Patrick Hayden,"McGill University Oded Regev , Tel-Aviv University Ben Reichardt , California Institute of Technology Renato Renner , Cambridge Falk Unger , CWI, Amsterdam Michael Wolf , Max-Planck-Institute for Quantumoptics, 
Garching",,,,,,,,,,50
QIP,2008,invited,,Oded Regev,Oded Regev,"Tel-Aviv University Ben Reichardt , California Institute of Technology Renato Renner , Cambridge Falk Unger , CWI, Amsterdam Michael Wolf , Max-Planck-Institute for Quantumoptics, 
Garching",,,,,,,,,,50
QIP,2008,invited,,Ben Reichardt,Ben Reichardt,"California Institute of Technology Renato Renner , Cambridge Falk Unger , CWI, Amsterdam Michael Wolf , Max-Planck-Institute for Quantumoptics, 
Garching",,,,,,,,,,50
QIP,2008,invited,,Renato Renner,Renato Renner,"Cambridge Falk Unger , CWI, Amsterdam Michael Wolf , Max-Planck-Institute for Quantumoptics, 
Garching",,,,,,,,,,50
QIP,2008,invited,,Falk Unger,Falk Unger,"CWI, Amsterdam Michael Wolf , Max-Planck-Institute for Quantumoptics, 
Garching",,,,,,,,,,50
QIP,2008,invited,,Michael Wolf,Michael Wolf,"Max-Planck-Institute for Quantumoptics, 
Garching",,,,,,,,,,50
QIP,2008,regular,Simulating Quantum Correlations with Finite Communication.,There will be ten 30-minute talks Oded Regev,There will be ten 30-minute talks Oded Regev;Ben Toner,,,,,,,,,,,25
QIP,2008,regular,Simulating Quantum Correlations with Finite Communication.,Oded Regev,Oded Regev;Ben Toner,,,,,,,,,,,30
QIP,2008,regular,The private classical capacity with a symmetric side channel,Graeme Smith,Graeme Smith,,,,,,,,,,,30
QIP,2008,regular,Using Entanglement in Quantum Multi-Prover Interactive Proofs,"Julia Kempe, Hirotada Kobayashi, Keiji Matsumoto","Julia Kempe, Hirotada Kobayashi, Keiji Matsumoto;Thomas Vidick",,,,,,,,,,,30
QIP,2008,regular,"An efficient quantum algorithm for  the hidden subgroup problem in nil-2
groups","Gabor Ivanyos, Luc Sanselme","Gabor Ivanyos, Luc Sanselme;Miklos Santha",,,,,,,,,,,30
QIP,2008,regular,Codeword Stabilized Quantum Codes,"Andrew Cross, Graeme Smith, John Smolin","Andrew Cross, Graeme Smith, John Smolin;Bei Zeng",,,,,,,,,,,30
QIP,2008,regular,"Counterexamples to additivity of minimum output p-Renyi entropy for p
close to 0","Toby Cubitt, Aram Harrow, Debbie Leung, Ashley Montanaro","Toby Cubitt, Aram Harrow, Debbie Leung, Ashley Montanaro;Andreas Winter",,,,,,,,,,,30
QIP,2008,regular,"Classical approximation schemes for the ground-state energy of quantum
and classical Ising spin glasses on planar graphs","Nikhil Bansal, Sergey Bravyi","Nikhil Bansal, Sergey Bravyi;Barbara Terhal",,,,,,,,,,,30
QIP,2008,regular,Quantum entropic security and approximate quantum encryption,Simon-Pierre Desrosiers,Simon-Pierre Desrosiers;Frederic Dupuis,,,,,,,,,,,30
QIP,2008,regular,The Unique Games Conjecture with Entangled Provers is False,"Julia Kempe, Oded Regev","Julia Kempe, Oded Regev;Ben Toner",,,,,,,,,,,30
QIP,2008,regular,Anonymous quantum communication,"Gilles Brassard, Anne Broadbent, Joseph Fitzsimons, Sebastien Gambs","Gilles Brassard, Anne Broadbent, Joseph Fitzsimons, Sebastien Gambs;Alain Tapp",,,,,,,,,,,30
QIP,2008,regular,Secure Identification and QKD in the Bounded-Quantum-Storage Model,"There will be twenty 20-minute talks Ivan Damgaard, Serge Fehr, Louis Salvail","There will be twenty 20-minute talks Ivan Damgaard, Serge Fehr, Louis Salvail;Christian Schaffner",,,,,,,,,,,30
QIP,2008,regular,Secure Identification and QKD in the Bounded-Quantum-Storage Model,"Ivan Damgaard, Serge Fehr, Louis Salvail","Ivan Damgaard, Serge Fehr, Louis Salvail;Christian Schaffner",,,,,,,,,,,20
QIP,2008,regular,"Quantum Reference Frames and the Classification of
Rotationally-Invariant Maps","Jean Christian Boileau, Lana Sheridan, Martin Laforest","Jean Christian Boileau, Lana Sheridan, Martin Laforest;Stephen Bartlett",,,,,,,,,,,20
QIP,2008,regular,A Tight High-Order Entropic Quantum Uncertainty Relation With Applications,"Ivan Damgaard, Serge Fehr, Renato Renner, Louis Salvail","Ivan Damgaard, Serge Fehr, Renato Renner, Louis Salvail;Christian Schaffner",,,,,,,,,,,20
QIP,2008,regular,Device-independent security of Quantum Key Distribution,"Stefano Pironio, Antonio Acin, Nicolas Brunner, Nicolas Gisin, Serge Massar","Stefano Pironio, Antonio Acin, Nicolas Brunner, Nicolas Gisin, Serge Massar;Valerio Scarani",,,,,,,,,,,20
QIP,2008,regular,Higher entropic uncertainty relations for anti-commuting observables,Stephanie Wehner,Stephanie Wehner;Andreas Winter,,,,,,,,,,,20
QIP,2008,regular,"Quantum probabilities, semidefinite programming, and optimization over
Hilbert spaces","Stefano Pironio, Miguel Navascues","Stefano Pironio, Miguel Navascues;Antonio Acin",,,,,,,,,,,20
QIP,2008,regular,The LU-LC conjecture is false,"Zhengfeng Ji, Jianxin Chen, Zhaohui Wei","Zhengfeng Ji, Jianxin Chen, Zhaohui Wei;Mingsheng Ying",,,,,,,,,,,20
QIP,2008,regular,Quantum Copy-Protection,Scott Aaronson,Scott Aaronson,,,,,,,,,,,20
QIP,2008,regular,On the Power of Entangled Provers: Immunizing games against entanglement,"Julia Kempe, Hirotada Kobayashi, Keiji Matsumoto, Ben Toner","Julia Kempe, Hirotada Kobayashi, Keiji Matsumoto, Ben Toner;Thomas Vidick",,,,,,,,,,,20
QIP,2008,regular,Determinism in Measurement based quantum computation,"Daniel E. Browne, Elham Kashefi, Mehdi Mhalla","Daniel E. Browne, Elham Kashefi, Mehdi Mhalla;Simon Perdrix",,,,,,,,,,,20
QIP,2008,regular,"Phase transition of computational power in the resource states for
one-way quantum computation","Dan Browne, Matthew Elliot, Steven Flammia, Seth Merkel, Akimasa Miyake","Dan Browne, Matthew Elliot, Steven Flammia, Seth Merkel, Akimasa Miyake;Anthony Short",,,,,,,,,,,20
QIP,2008,regular,Quantum expanders from any classical Cayley graph expander,Aram Harrow,Aram Harrow,,,,,,,,,,,20
